fbgraph,62
restclient_with_cert,62
acts_as_archive,62
zip,62
ruby-recaptcha,62
remarkable_rails,61
wasabi,61
roauth,61
resque-status,61
beanstalk-client,61
extlib,61
akami,61
mongoid-paperclip,61
zendesk_remote_auth,60
acts_as_reportable,60
rubytree,60
web-app-theme,60
temple,60
hirefireapp,60
little-plugger,59
twilio,59
slim,59
meta-tags,58
rakismet,58
hirefire,57
guard-spork,57
clickatell,56
acts_as_api,56
redisk,56
crummy,56
spoon,56
gibbon,56
slim_scrooge,56
adzap-ar_mailer,56
activerecord-sqlserver-adapter,55
thrift,55
breadcrumbs_on_rails,55
johnson,54
engineyard,54
pauldix-feedzirra,54
fast-stemmer,54
mixpanel,54
activerecord-oracle_enhanced-adapter,54
interactive_editor,53
engineyard-serverside-adapter,53
redis-objects,53
refinerycms-blog,53
indextank,53
dropbox,52
prawnto,52
ruby-mp3info,52
ntlm-http,52
useragent,52
plist,52
eigenclass,51
has_many_polymorphs,51
gmaps4rails,51
refinerycms-news,51
youtube_it,51
premailer,51
ferret,51
mongo_ext,50
imagesize,50
patron,50
squeel,50
locomotive_carrierwave,50
mongoid_rails_migrations,50
stackdeck,49
ruby-mysql,49
guard-livereload,49
fast_gettext,49
wicked_pdf,49
envjs,49
geokit-rails,48
diesel,48
pyu-ntlm-http,48
differ,48
em-synchrony,48
ice_cube,48
BlueCloth,47
rails-erd,47
workless,47
ruby-net-ldap,47
rqrcode,47
compass-susy-plugin,47
orderedhash,47
thoughtbot-clearance,46
simple_uuid,46
starling,46
jruby-jars,46
method_source,45
grackle,45
resque-pool,45
faraday-stack,45
crypt,45
mail_form,45
spatial_adapter,45
blankslate,45
rack-jsonp,45
delocalize,44
enumerated_attribute,44
responds_to_parent,44
slop,44
pry,44
mongoid-rspec,44
mbleigh-subdomain-fu,44
ajaxful_rating,43
oily_png,43
show_for,43
juggernaut,43
mad_mimi_mailer,43
rubycas-client,42
capybara-envjs,42
acts_as_geocodable,42
simplegeo,42
amatch,42
domainatrix,42
i18n-js,42
flash_cookie_session,41
ruby-oci8,41
twilio-ruby,41
clockwork,41
verification,41
linguistics,41
capistrano_colors,41
xmpp4r,41
refinerycms-page-images,41
require_all,41
event-calendar,41
meta_programming,41
thrift_client,41
resque-cleaner,41
rb-inotify,41
refinerycms-search,40
desert,40
rails-dev-boost,40
twitter4r,40
pacecar,40
easy_roles,39
rscribd,39
ruby-stemmer,39
geonames,39
business_time,39
flexmock,39
moonshado-sms,39
rd_resource_controller,39
eycap,38
google4r-checkout,38
madmimi,38
fabrication,38
i18n_routing,38
rio,38
parseexcel,38
active_shipping,38
twitter-auth,38
tidy,38
wkhtmltopdf-binary,38
twitter-text,38
raspell,38
binarylogic-searchlogic,38
guid,37
admin_data,37
compass-colors,37
timeline_fu,37
vlad,37
ruby-growl,37
gemcutter,37
sugar-high,37
spree,37
jwt,37
andre-geokit,37
msgpack,37
geoip_city,37
rghost,37
browser,36
acts_as_versioned,36
akephalos,36
openrain-action_mailer_tls,36
rails-geocoder,36
sys-uname,36
authlogic_rpx,36
spree_core,36
rainbow,36
mbleigh-acts-as-taggable-on,36
map,36
gdata_19,36
auto_tagger,35
gcal4ruby,35
bluepill,35
rchardet,35
lemonade,35
ruport-util,35
chronic_duration,35
seer,35
resque-loner,35
currencies,35
htmldoc,35
cssmin,34
spree_auth,34
gettext_i18n_rails,34
paypal_adaptive,34
ar_mailer,34
rd_unobtrusive_date_picker,34
spree_api,34
gettext_activerecord,34
guard-bundler,34
gdata4ruby,34
active_hash,34
random_data,34
countries,34
request-log-analyzer,34
text-hyphen,34
mms2r,34
vimeo,34
acts_as_commentable_with_threading,34
translate_routes,34
spree_dash,33
collectiveidea-delayed_job,33
spree_promo,33
kramdown,33
oniguruma,33
spree_sample,33
spreedly,32
recurrence,32
mongoid_search,32
resource_controller,32
perftools.rb,32
couchrest_model,32
locale_rails,32
data_objects,32
holidays,32
mm-devise,32
mailfactory,32
iconv,32
rack-bug,32
heroku_s3_backup,32
cover_me,32
active_link_to,32
machinist_mongo,32
tiny_tds,32
inherited_resources_views,32
mongrel_cluster,32
polyamorous,31
scoped_search,31
