GemName,Usage (GS),Usage (NR),Downloads,% Usage (GS),% Usage (NR),% Downloads
foreigner,29,174,57533,0.039509537,0.022985469,0.00801136
ffaker,49,116,44661,0.066757493,0.015323646,0.006218959
metric_fu,36,165,98241,0.049046322,0.021796565,0.013679872
webrat,87,566,565100,0.11852861,0.074768824,0.078689096
mocha,152,756,606322,0.207084469,0.0998679,0.084429181
spork,206,548,349405,0.280653951,0.072391017,0.048653979
velir_virtualbox,1,1,80,0.001362398,0.0001321,1.11398E-05
devise_invitable,39,223,58818,0.053133515,0.029458388,0.008190294
wysihat-engine,1,8,6988,0.001362398,0.001056803,0.000973066
ranked-model,1,16,1735,0.001362398,0.002113606,0.000241595
rack-ssl,17,713,484536,0.023160763,0.094187583,0.067470713
jammit-s3,7,62,7546,0.009536785,0.008190225,0.001050766
heroku,80,1137,542899,0.108991826,0.150198151,0.075597649
rabl,16,70,13437,0.021798365,0.009247028,0.001871077
mustache,16,95,73864,0.021798365,0.012549538,0.010285421
poirot,1,1,503,0.001362398,0.0001321,7.00418E-05
omniauth,110,926,205931,0.14986376,0.122324967,0.028675499
settingslogic,33,213,60752,0.044959128,0.028137384,0.0084596
rails3-jquery-autocomplete,33,209,50986,0.044959128,0.027608983,0.007099703
awesome_print,107,430,238734,0.145776567,0.05680317,0.033243254
shoulda,135,585,363228,0.183923706,0.077278732,0.050578806
fuubar,45,70,60676,0.061307902,0.009247028,0.008449017
timecop,142,337,159092,0.19346049,0.044517834,0.022153257
mysqlplus,3,16,47679,0.004087193,0.002113606,0.00663921
oauth2,27,1617,402980,0.036784741,0.213606341,0.056114196
xml-simple,25,2939,1132185,0.034059946,0.388243065,0.1576546
text,6,73,25802,0.008174387,0.009643329,0.003592879
oauth,60,2343,757952,0.081743869,0.309511229,0.105543369
twitter,73,861,291878,0.099455041,0.113738441,0.040643454
linkedin,14,100,18350,0.019073569,0.01321004,0.002555202
erubis,33,6484,3733069,0.044959128,0.85653897,0.519822732
libxml-ruby,24,487,398785,0.032697548,0.064332893,0.05553005
braintree,18,737,230843,0.024523161,0.097357992,0.032144447
populator,18,120,45795,0.024523161,0.015852048,0.006376866
nested_layouts,1,13,4593,0.001362398,0.001717305,0.000639566
ssl_requirement,12,146,26169,0.016348774,0.019286658,0.003643983
ruby-openid,18,1324,459215,0.024523161,0.174900925,0.063944812
okkez-open_id_authentication,1,1,539,0.001362398,0.0001321,7.50547E-05
authlogic-oid,4,72,28857,0.005449591,0.009511229,0.004018282
email_spec,90,247,163675,0.122615804,0.032628798,0.022791431
rack-debug,9,11,7561,0.01226158,0.001453104,0.001052855
adzap-ar_mailer,1,56,10024,0.001362398,0.007397622,0.001395823
aasm,49,636,168569,0.066757493,0.084015852,0.023472911
bitly,22,315,60779,0.029972752,0.041611625,0.00846336
db_populate,1,7,3070,0.001362398,0.000924703,0.000427492
bluecloth,15,268,118602,0.020435967,0.035402906,0.016515102
slugged,4,13,2259,0.005449591,0.001717305,0.000314561
inherited_resources,97,1007,233548,0.132152589,0.133025099,0.032521113
carmen,34,218,34612,0.046321526,0.028797886,0.004819655
configatron,16,259,90460,0.021798365,0.034214003,0.012596382
resque-scheduler,35,317,77373,0.047683924,0.041875826,0.010774043
daemon-spawn,6,80,26967,0.008174387,0.010568032,0.003755103
ts-resque-delta,3,16,3453,0.004087193,0.002113606,0.000480824
acts_as_geocodable,16,42,8407,0.021798365,0.005548217,0.001170659
pickler,3,11,8054,0.004087193,0.001453104,0.001121504
sanitize,55,566,147317,0.07493188,0.074768824,0.020513611
capistrano-gitflow,3,3,4522,0.004087193,0.000396301,0.00062968
sitemap_generator,29,222,50800,0.039509537,0.029326288,0.007073803
ancestry,43,185,48234,0.058583106,0.024438573,0.006716492
fog,89,796,263991,0.121253406,0.105151915,0.036760243
koala,31,396,70801,0.042234332,0.052311757,0.009858904
oauth-plugin,10,146,30745,0.013623978,0.019286658,0.004281183
guard-compass,12,4,4578,0.016348774,0.000528402,0.000637478
guard-livereload,48,49,28995,0.065395095,0.006472919,0.004037498
guard-spork,76,57,38789,0.103542234,0.007529723,0.005401294
googlecharts,18,222,64901,0.024523161,0.029326288,0.00903734
simplecov,104,92,89668,0.141689373,0.012153236,0.012486098
pry,91,44,57995,0.123978202,0.005812417,0.008075693
bourne,15,10,12654,0.020435967,0.001321004,0.001762045
factory_girl,161,1505,888076,0.219346049,0.198811096,0.123662888
faraday,9,1921,561185,0.01226158,0.253764861,0.07814394
coffee-rails,187,238,246749,0.254768392,0.031439894,0.034359327
bourbon,15,22,6360,0.020435967,0.002906209,0.000885618
hashie,19,1168,423170,0.025885559,0.154293263,0.058925615
httparty,74,2005,635447,0.100817439,0.264861295,0.088484782
yajl-ruby,70,718,537188,0.095367847,0.094848085,0.074802403
fancy-buttons,20,147,45090,0.027247956,0.019418758,0.006278696
thin,157,799,609110,0.213896458,0.105548217,0.084817405
responders,25,986,244901,0.034059946,0.130250991,0.034101997
web-app-theme,28,60,30444,0.038147139,0.007926024,0.004239269
guard-bundler,54,34,18646,0.073569482,0.004491413,0.00259642
coffee-script,60,634,378467,0.081743869,0.083751651,0.052700807
forgery,29,100,39537,0.039509537,0.01321004,0.005505452
squeel,18,50,12767,0.024523161,0.00660502,0.00177778
flash_cookie_session,15,41,7553,0.020435967,0.005416116,0.001051741
sqlite3,164,1349,1212489,0.223433243,0.178203435,0.168836779
mongoid,83,739,296567,0.113079019,0.097622193,0.041296389
bson_ext,116,1039,477011,0.158038147,0.137252312,0.066422871
rails-backbone,9,19,4382,0.01226158,0.002509908,0.000610185
remarkable_mongoid,6,10,8227,0.008174387,0.001321004,0.001145594
prototype-rails,3,6,3419,0.004087193,0.000792602,0.000476089
jquery_ui_rails_helpers,1,2,859,0.001362398,0.000264201,0.000119614
rails_autolink,14,29,5465,0.019073569,0.003830911,0.000760991
validates_existence,2,30,8345,0.002724796,0.003963012,0.001162025
validates_timeliness,32,260,57637,0.04359673,0.034346103,0.008025842
activevalidators,1,6,3996,0.001362398,0.000792602,0.000556435
default_value_for,14,68,13004,0.019073569,0.008982827,0.001810782
rack-ssl-enforcer,11,120,22127,0.014986376,0.015852048,0.003081143
execjs,28,600,463414,0.038147139,0.079260238,0.064529515
capistrano_colors,34,41,30883,0.046321526,0.005416116,0.004300399
clearance,9,184,47071,0.01226158,0.024306473,0.006554547
high_voltage,22,144,30807,0.029972752,0.019022457,0.004289816
flutie,5,66,21623,0.006811989,0.008718626,0.003010961
silent-postgres,43,122,26809,0.058583106,0.016116248,0.003733102
jammit,84,1120,230229,0.114441417,0.147952444,0.032058949
copycopter_client,5,24,12199,0.006811989,0.00317041,0.001698687
paper_trail,29,255,65634,0.039509537,0.033685601,0.009139409
gcal4ruby,2,35,15560,0.002724796,0.004623514,0.0021667
parallel_tests,39,80,53911,0.053133515,0.010568032,0.007507004
jasmine,45,151,111922,0.061307902,0.01994716,0.015584925
sham_rack,5,15,13178,0.006811989,0.001981506,0.001835011
treetop,9,6447,3687472,0.01226158,0.851651255,0.513473436
selenium-webdriver,39,1035,855404,0.053133515,0.13672391,0.119113374
seed-fu,6,99,18200,0.008174387,0.013077939,0.002534315
ezcrypto,11,248,76142,0.014986376,0.032760898,0.010602628
rmagick,113,1417,636392,0.153950954,0.187186262,0.088616371
acts_as_markup,2,22,12371,0.002724796,0.002906209,0.001722638
rdiscount,47,464,269865,0.064032698,0.061294584,0.037578186
activemerchant,69,843,246630,0.09400545,0.111360634,0.034342757
mark_facets,2,13,5417,0.002724796,0.001717305,0.000754307
twitter_oauth,13,203,62205,0.017711172,0.02681638,0.008661927
fbgraph,6,62,16272,0.008174387,0.008190225,0.002265845
pusher,14,165,32721,0.019073569,0.021796565,0.004556337
coffeebeans,3,13,2227,0.004087193,0.001717305,0.000310105
therubyracer-heroku,17,113,24414,0.023160763,0.014927345,0.003399603
utility_belt,9,12,13416,0.01226158,0.001585205,0.001868152
watchr,32,76,56264,0.04359673,0.01003963,0.007834655
fakeweb,84,296,209361,0.114441417,0.039101717,0.02915312
autotest-rails,44,175,129059,0.059945504,0.023117569,0.017971219
autotest-growl,33,83,103488,0.044959128,0.010964333,0.014410506
taps,27,179,119060,0.036784741,0.023645971,0.016578878
bson,17,1066,530324,0.023160763,0.140819022,0.073846605
mini_fb,12,157,38638,0.016348774,0.020739762,0.005380268
geoip,32,295,141531,0.04359673,0.038969617,0.019707922
geokit-geoip-provider,1,1,125,0.001362398,0.0001321,1.7406E-05
mechanize,48,605,348606,0.065395095,0.07992074,0.04854272
better_ar,1,1,1072,0.001362398,0.0001321,0.000149274
friendly_id,97,828,194152,0.132152589,0.109379128,0.027035295
remarkable_activerecord,18,96,67566,0.024523161,0.012681638,0.009408437
memcache-client,59,827,494193,0.080381471,0.109247028,0.068815432
builder,32,7274,4519914,0.04359673,0.960898283,0.629389396
ruport,8,118,64008,0.010899183,0.015587847,0.008912992
color,6,178,98798,0.008174387,0.023513871,0.013757433
hoe,21,718,1152096,0.028610354,0.094848085,0.160427169
acts_as_reportable,6,60,24727,0.008174387,0.007926024,0.003443188
archive-tar-minitar,4,283,367358,0.005449591,0.037384412,0.0511539
pdf-writer,4,155,77985,0.005449591,0.020475561,0.010859262
transaction-simple,1,121,76798,0.001362398,0.015984148,0.010693975
dancroak-validates_email_format_of,1,5,0,0.001362398,0.000660502,0
rubyforge,7,339,1040688,0.009536785,0.044782034,0.144913817
utility_scopes,1,25,3330,0.001362398,0.00330251,0.000463696
htmlentities,40,592,274060,0.054495913,0.078203435,0.038162332
right_aws,16,519,352636,0.021798365,0.068560106,0.04910389
giraffesoft-resource_controller,1,16,0,0.001362398,0.002113606,0
calendar_date_select,15,487,103098,0.020435967,0.064332893,0.0143562
thoughtbot-factory_girl,1,138,0,0.001362398,0.018229855,0
thoughtbot-shoulda,3,150,18465,0.004087193,0.019815059,0.002571216
rr,24,78,126326,0.032697548,0.010303831,0.017590654
maruku,17,110,101567,0.023160763,0.014531044,0.014143011
resthome,1,1,1899,0.001362398,0.0001321,0.000264432
fb_graph,20,213,61965,0.027247956,0.028137384,0.008628508
prawn,54,760,210054,0.073569482,0.100396301,0.029249618
rqrcode-rails3,3,2,932,0.004087193,0.000264201,0.000129779
rqrcode,9,47,15088,0.01226158,0.006208719,0.002100975
mongoid-paperclip,5,61,9320,0.006811989,0.008058124,0.001297792
simple-navigation,27,193,66209,0.036784741,0.025495376,0.009219477
aws-ses,14,164,25596,0.019073569,0.021664465,0.003564194
rails_code_qa,4,20,13883,0.005449591,0.002642008,0.001933181
ZenTest,40,501,587058,0.054495913,0.066182299,0.081746706
tiny_tds,7,32,15073,0.009536785,0.004227213,0.002098886
activerecord-sqlserver-adapter,6,55,71854,0.008174387,0.007265522,0.010005532
comma,8,86,15499,0.010899183,0.011360634,0.002158206
declarative_authorization,17,328,86189,0.023160763,0.04332893,0.012001654
jrails,14,196,47260,0.019073569,0.025891678,0.006580865
edi4r,1,4,859,0.001362398,0.000528402,0.000119614
aaronh-chronic,6,828,171575,0.008174387,0.109379128,0.023891491
csv_pirate,1,3,10955,0.001362398,0.000396301,0.001525463
sortable_table,3,8,789,0.004087193,0.001056803,0.000109867
rails-settings-cached,1,9,1499,0.001362398,0.001188904,0.000208733
rghost,4,37,16744,0.005449591,0.004887715,0.00233157
rghost_barcode,2,18,3887,0.002724796,0.002377807,0.000541257
linguistics,5,41,9818,0.006811989,0.005416116,0.001367138
rails3_acts_as_paranoid,3,64,16219,0.004087193,0.008454425,0.002258465
rack-perftools_profiler,6,21,8934,0.008174387,0.002774108,0.001244042
rails-erd,28,47,26532,0.038147139,0.006208719,0.00369453
faker,147,877,445872,0.20027248,0.115852048,0.062086825
cover_me,9,32,18368,0.01226158,0.004227213,0.002557709
Selenium,4,20,57416,0.005449591,0.002642008,0.007995068
selenium-client,25,169,165561,0.034059946,0.022324967,0.023054053
fuubar-cucumber,12,14,9031,0.016348774,0.001849406,0.00125755
unicorn,115,723,435682,0.156675749,0.095508587,0.060667887
amazon-ecs,4,65,17092,0.005449591,0.008586526,0.002380028
turn,97,77,166933,0.132152589,0.010171731,0.023245102
activerecord,16,7409,6217944,0.021798365,0.978731836,0.865836832
activesupport,15,7424,7181427,0.020435967,0.980713342,1
mongo,32,1082,549094,0.04359673,0.142932629,0.076460291
plucky,4,217,121670,0.005449591,0.028665786,0.016942315
acts-as-list,2,20,8842,0.002724796,0.002642008,0.001231232
after_commit,11,267,135388,0.014986376,0.035270806,0.018852521
exception_notification,75,411,67142,0.102179837,0.054293263,0.009349395
mega_mutex,2,5,2179,0.002724796,0.000660502,0.000303422
ruby-openid-apps-discovery,7,985,226279,0.009536785,0.13011889,0.031508919
SystemTimer,70,605,371404,0.095367847,0.07992074,0.051717298
barby,15,100,31378,0.020435967,0.01321004,0.004369327
macaddr,5,407,316558,0.006811989,0.053764861,0.044080097
png,1,18,9720,0.001362398,0.002377807,0.001353491
rufus-scheduler,10,435,175973,0.013623978,0.057463672,0.024503904
uuid,31,476,327165,0.042234332,0.062879789,0.045557102
amazon_seller_central,1,1,285,0.001362398,0.0001321,3.96857E-05
roxml,4,64,28064,0.005449591,0.008454425,0.003907858
rforce,3,31,11212,0.004087193,0.004095112,0.00156125
facets,6,66,106000,0.008174387,0.008718626,0.014760298
asf-soap-adapter,1,12,4385,0.001362398,0.001585205,0.000610603
rbtrace,3,11,6220,0.004087193,0.001453104,0.000866123
